[2026-02-13 09:42:41] [stress] Not Running
[2026-02-13 09:42:42] [stress] Not Running
[2026-02-13 09:42:43] [stress] Not Running
[2026-02-13 09:42:44] [stress] Not Running
[2026-02-13 09:42:45] [stress] Not Running
[2026-02-13 09:42:46] [stress] Not Running
[2026-02-13 09:42:47] [stress] Not Running
[2026-02-13 09:42:48] [stress] Not Running
[2026-02-13 09:42:49] [stress] Not Running
[2026-02-13 09:42:50] [stress] Not Running
[2026-02-13 09:42:51] [stress] Not Running
[2026-02-13 09:42:52] [stress] Not Running
[2026-02-13 09:42:53] [stress] Not Running
[2026-02-13 09:42:54] [stress] Not Running
[2026-02-13 09:42:55] [stress] Not Running
[2026-02-13 09:42:56] [stress] Not Running
[2026-02-13 09:42:57] [stress] Not Running
[2026-02-13 09:42:58] [stress] Not Running
[2026-02-13 09:42:59] [stress] Not Running
[2026-02-13 09:43:00] [stress] Not Running
[2026-02-13 09:43:01] [stress] Not Running
[2026-02-13 09:43:02] [stress] Not Running
[2026-02-13 09:43:03] [stress] Not Running
[2026-02-13 09:58:44] [PID:394077] CPU: 98.97%, PROC_RAM: 8 MB, SYS_RAM: 7083 MB, GPU: 0%
[2026-02-13 09:58:45] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7083 MB, GPU: 0%
[2026-02-13 09:58:46] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7083 MB, GPU: 0%
[2026-02-13 09:58:47] [PID:394077] CPU: 98.97%, PROC_RAM: 8 MB, SYS_RAM: 7086 MB, GPU: 0%
[2026-02-13 09:58:48] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7086 MB, GPU: 0%
[2026-02-13 09:58:49] [PID:394077] CPU: 98.97%, PROC_RAM: 8 MB, SYS_RAM: 7086 MB, GPU: 0%
[2026-02-13 09:58:50] [PID:394077] CPU: 99.96%, PROC_RAM: 8 MB, SYS_RAM: 7086 MB, GPU: 0%
[2026-02-13 09:58:51] [PID:394077] Not running
[2026-02-13 09:59:58] [PID:394431] CPU: 0.00%, PROC_RAM: 8 MB, SYS_RAM: 7086 MB, GPU: 0%
[2026-02-13 09:59:59] [PID:394431] CPU: 99.96%, PROC_RAM: 8 MB, SYS_RAM: 7087 MB, GPU: 0%
[2026-02-13 10:00:00] [PID:394431] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7087 MB, GPU: 0%
[2026-02-13 10:00:01] [PID:394431] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7087 MB, GPU: 0%
[2026-02-13 10:00:02] [PID:394431] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7087 MB, GPU: 0%
[2026-02-13 10:00:03] [PID:394431] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7087 MB, GPU: 0%
[2026-02-13 10:00:04] [PID:394431] CPU: 98.97%, PROC_RAM: 8 MB, SYS_RAM: 7087 MB, GPU: 0%
[2026-02-13 10:00:05] [PID:394431] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7087 MB, GPU: 0%
[2026-02-13 10:00:06] [PID:394431] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7086 MB, GPU: 0%
[2026-02-13 10:00:07] [PID:394431] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7086 MB, GPU: 0%
[2026-02-13 10:00:08] [PID:394431] CPU: 100.97%, PROC_RAM: 8 MB, SYS_RAM: 7086 MB, GPU: 0%
[2026-02-13 10:00:09] [PID:394431] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7086 MB, GPU: 0%
[2026-02-13 10:00:10] [PID:394431] CPU: 98.97%, PROC_RAM: 8 MB, SYS_RAM: 7086 MB, GPU: 0%
[2026-02-13 10:00:11] [PID:394431] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7086 MB, GPU: 0%
[2026-02-13 10:00:12] [PID:394431] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7086 MB, GPU: 0%
[2026-02-13 10:00:13] [PID:394431] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7087 MB, GPU: 0%
[2026-02-13 10:00:14] [PID:394431] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7087 MB, GPU: 0%
[2026-02-13 10:00:15] [PID:394431] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7087 MB, GPU: 0%
[2026-02-13 10:00:16] [PID:394431] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7086 MB, GPU: 0%
[2026-02-13 10:00:17] [PID:394431] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7086 MB, GPU: 0%
[2026-02-13 10:00:18] [PID:394431] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7087 MB, GPU: 0%
